Duration,Application
47h 14m 48s,Google Chrome
37h 53m 24s,Safari
9h 55m 5s,SlayTheSpire
6h 59m 9s,WeChat
4h 47m 42s,Spark
4h 36m 41s,Finder
3h 1m 34s,Football Manager 2018 v 18 . 3 . 4 f 1093860
2h 51s,Xcode
1h 49m 35s,1Password 7
1h 49m 34s,QQ
1h 35m 24s,Microsoft OneNote
1h 31m 55s,Blu-ray Player Pro
1h 25m 31s,Code
1h 17m 31s,Typora
1h 15m 28s,Acrobat Pro DC
1h 14m 15s,Hearthstone
1h 11m 56s,Maipo
1h 6m 15s,IINA
1h 3m 29s,Firefox
1h 1m 23s,腾讯视频
52m 42s,iBooks
42m 43s,iStat Menus Status
42m 1s,Transmit
41m 35s,MATLAB
38m 27s,Alfred Preferences
37m 17s,System Preferences
34m 47s,Notes
34m 35s,BombSquad
33m 38s,Timing
32m 8s,Activity Monitor
31m 21s,网易MuMu
30m 17s,Microsoft Word
30m 11s,NeteaseMusic
28m 58s,Fantastical
27m 48s,Notion
27m 33s,Steam
27m 21s,LastPass
26m 59s,Trello
26m 38s,Code
26m 33s,Script Editor
23m 13s,Microsoft PowerPoint
22m 6s,App Store
21m 35s,AriaNg
21m 3s,Todoist
17m 45s,Reminders
17m 31s,Numi
16m 51s,Cisco AnyConnect Secure Mobility Client
16m 31s,CleanMyMac X
16m 12s,Setapp
15m 40s,iMazing
13m 59s,EuDic
12m 16s,namebench
12m 4s,搜狗输入法 偏好设置
11m 47s,Mosaic
11m 21s,Folx
11m 20s,幕布
10m 23s,Slack
10m 3s,Downie
10m 1s,/private/var/folders/94/fllxp7f90zb16d5lsw_r_8xc0000gn/T/installer_7627/sys/java/jre/maci64/jre/bin/java
9m 24s,iTunes
8m 45s,VLC
8m 36s,System Information
8m 21s,MoneyWiz 3
8m 20s,App Store
8m 12s,QQ音乐
8m,Installer
7m 27s,Terminal
7m 25s,CleanMyMac
6m 55s,Preview
6m 47s,OneDrive
6m 20s,Photoshop CC
6m 12s,Dictionary
6m 11s,Accessibility Inspector
5m 46s,Gemini
5m 44s,Send Anywhere
5m 21s,BetterZip
4m 56s,iStat Menus
4m 48s,Maps
4m 44s,4K Stogram
4m 43s,/Applications/Setapp/KeyKey Typing Tutor.app/Contents/MacOS/KeyKey
4m 15s,Avast Security
3m 55s,AppCleaner
3m 54s,Battle.net
3m 52s,BetterTouchTool Setapp
3m 47s,Paste
3m 41s,截图
3m 31s,Logitech Options
3m 30s,Code
3m 21s,Pocket
3m 20s,TextEdit
3m 9s,Grammarly
3m 5s,AdGuard
3m 2s,Photos
2m 50s,Creative Cloud
2m 48s,coreautha
2m 44s,TogglDesktop
2m 32s,PDF Expert
2m 28s,Bartender 3
2m 24s,Adobe Digital Editions
2m 23s,Speedtest
2m 19s,Paragon NTFS for Mac 15
2m 16s,GitHub Desktop
2m 9s,Journey
1m 58s,Orwell
1m 54s,Polarr Photo Editor
1m 50s,Evernote
1m 50s,Turn Off the Lights for Safari
1m 50s,Disk Utility
1m 49s,HazeOver
1m 49s,Messages
1m 45s,Permute
1m 40s,Pagico
1m 40s,Setapp
1m 40s,Droid4X
1m 36s,DiskImages UI Agent
1m 35s,Simulator
1m 29s,XD
1m 29s,iMazing Mini
1m 28s,Balsamiq Mockups 3
1m 24s,Microsoft AutoUpdate
1m 22s,ShadowsocksX-NG
1m 17s,Magnet
1m 11s,Sip
1m 9s,Calendar
1m 7s,MobileDeviceUpdater